,PROFILE_CODE,PROFILE_NAME,SCC1,SCC2,SCC3,Aluminum,Ammonium,Antimony,Arsenic,Barium,Cadmium,Calcium,Chloride ion,Chromium,Cobalt,Copper,Elemental Carbon,Indium,Iron,Lead,Magnesium,Manganese,Mercury,Molybdenum,Nickel,Nitrate,Organic carbon,Phosphorus,Potassium,Potassium ion,Selenium,Silicon,Silver,Sodium,Sodium ion,Strontium,Sulfate,Sulfur,Tin,Titanium,Vanadium,Zinc,Zirconium
0,2.5,Overall Composite,Miscellaneous,Miscellaneous,Miscellaneous,4.443,0.022,0.765,1.476,0.052,0.421,2.614,,0.103,0.031,1.056,4.406,0.004,2.758,3.382,0.389,0.337,0.054,0.002,0.126,0.164,8.768,0.152,2.108,,0.025,9.491,0.039,1.652,,0.014,5.514,2.972,0.117,0.194,0.061,2.233,0.002
1,3190.0,Coal Combustion,Combustion,Electric Generation; Boiler,Coal,5.968,0.3476,0.0,0.0,1.3315,0.0,3.4536,,0.0176,0.0,0.0179,4.2763,0.0,2.916,0.068,,0.0284,0.0,0.0,0.0072,0.0,0.0,0.9372,0.4644,0.1109,0.0406,9.0112,0.0,,,0.1964,10.1716,2.948,0.0,0.4315,0.0,0.0797,0.0247
2,3191.0,Coal Combustion,Combustion,Electric Generation; Boiler,Coal,6.3904,0.3354,0.0,0.0,0.3697,0.0,2.5607,,0.0149,0.0,0.023,6.676,0.0,2.7121,0.0959,,0.0338,0.0,0.0,0.0085,0.0,4.4158,0.3674,0.4906,0.0932,0.0067,9.1304,0.0,,,0.1373,2.1195,0.5934,0.0,0.4018,0.0,0.0857,0.0229
3,3192.0,Coal Combustion,Combustion,Electric Generation; Boiler,Coal,5.5457,0.3598,0.0,0.0,2.2933,0.0,4.3464,,0.0202,0.0,0.0127,1.8766,0.0,3.12,0.0402,,0.0229,0.0,0.0118,0.0059,0.1141,1.9097,1.5071,0.4383,0.1285,0.0745,8.892,0.0,,,0.2556,18.2238,5.3025,0.0,0.4612,0.0,0.0737,0.0266
4,3193.0,Coal Combustion,Combustion,Electric Generation; Boiler,Coal,6.9752,0.3412,0.0,0.0,1.2348,0.0,4.6981,,0.0198,0.0,0.019,3.2627,0.0,3.5135,0.0512,,0.038,0.0,0.0,0.0089,0.0,2.9031,1.1086,0.5751,0.1119,0.0365,10.0071,0.0,,,0.2784,7.576,2.2323,0.0,0.4532,0.0,0.0653,0.0261
5,3194.0,Coal Combustion,Combustion,Electric Generation; Boiler,Coal,8.9896,0.3283,0.0,0.0,1.0414,0.0,7.1872,,0.0243,0.0,0.0213,1.2354,0.0,4.7085,0.0176,,0.0573,0.0,0.0054,0.0124,0.0,2.8881,1.4515,0.7964,0.114,0.0282,11.9988,0.0,,,0.4424,2.3848,0.8011,0.0,0.4966,0.0,0.0364,0.0289
6,3195.0,Gas Combustion,Combustion,Boiler,Natural Gas,5.5896,1.0621,0.0,0.0,0.478,0.0,2.8493,,0.0231,0.0,0.0176,2.9764,0.0,2.6446,0.0672,,0.0258,0.0,0.0,0.0073,2.129,8.671,0.3127,0.6199,0.1274,0.0,8.7487,0.0,,,0.2078,4.4189,1.2192,0.0,0.4797,0.0,0.0434,0.0403
7,3196.0,Agriculture Soil,Dust,Agriculture,Soil,7.4502,0.0,0.0,0.0,0.0,0.0,1.678,,0.0,0.0,0.0371,0.0,0.0,4.7058,0.0,,0.1186,0.0,0.0,0.0,0.0,3.0041,0.1518,2.488,0.152,0.0,25.0138,0.0,,,0.0235,0.0,0.0633,0.0,0.5193,0.0,0.0464,0.0
8,3197.0,Paved Road,Dust,Road,Paved,5.4593,0.0,0.0,0.0,0.0,0.0,2.1711,,0.0235,0.0,0.0209,2.859,0.0,3.8959,0.0749,,0.072,0.0,0.0,0.0085,0.0,0.0,0.0,2.937,0.2363,0.0,18.7065,0.0,,,0.034,0.9943,0.8496,0.0,0.3306,0.0,0.1341,0.011
9,3198.0,Highway Road Dust,Dust,Road,Paved,6.1228,0.0,0.0,0.0,0.0,0.0,2.4593,,0.0253,0.0,0.0335,2.0782,0.0,4.6951,0.068,,0.0941,0.0,0.0,0.01,0.1882,13.8122,0.0,2.8526,0.407,0.0,18.9711,0.0,,,0.0436,0.9585,0.4822,0.0,0.3668,0.033,0.1067,0.0147
