"Date","Aluminum","Arsenic","Bromine","Calcium","Chlorine","Chromium","Copper","Elemental Carbon","Elemental carbon I","Elemental carbon II","Elemental carbon III","Iron","Lead","Magnesium","Manganese","Nickel","Nitrate","Nitrite","Organic carbon","Organic carbon I","Organic carbon II","Organic carbon III","Organic carbon IV","Phosphorus","Potassium","Pyrolyzed organic carbon","Rubidium","Selenium","Silicon","Sodium","Strontium","Sulfate","Sulfur","Titanium","Vanadium","Zinc","Zirconium","PM25"
"01/03/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01/06/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01/09/2019",0.00506,0,0.00069,0.01608,0.00426,0.00031,0.00739,0.61355,0.57597,0.1475,0.00556,0.03957,0.00075,0.00223,0.00106,0.00051,0.20458,0.0031,1.16139,0.06696,0.32701,0.36806,0.28388,2e-05,0.02479,0.11548,1e-05,5e-05,0.01904,0.01387,0.00151,0.11564,0.0471,0.00142,2e-04,0.00391,NA,2.82922
"01/12/2019",0.0211,0.00205,0.00381,0.16084,0.01527,0.00435,0.01311,1.63555,1.56809,0.06746,0,0.21627,0.00589,0.00701,0.00646,0.00188,0.86288,0.00382,3.94056,0.55373,1.27096,1.21719,0.89868,0.00053,0.07485,0,3e-05,0.00094,0.06651,0.05446,0.00086,0.69257,0.22892,0.0076,0.00117,0.02565,0.00085,10.22514
"01/15/2019",0.04373,0.00527,0.00741,0.12138,0.03101,0.01485,0.02541,1.26831,1.65554,0.02425,0,0.28255,0.01686,0.00343,0.01701,0.00344,1.4006,NA,5.2354,0.81774,1.3949,1.45708,1.1542,0.00308,0.10657,0.41148,NA,0.00104,0.13616,0.19964,0.00084,1.11101,0.33397,0.01115,0.00061,0.03897,0.00203,14.31518
"01/18/2019",0.00619,0.00016,0.00086,0.02167,0.31783,0.00033,0.00186,0.26343,0.25689,0.00654,0,0.04173,0.00072,0.03545,0.00066,0.00052,0.18783,0.00211,0.72229,0.05423,0.19063,0.25543,0.222,1e-05,0.02189,0,NA,NA,0.01495,0.2627,0.00024,0.14782,0.05632,0.00185,0,0.00466,0.00179,2.74826
"01/21/2019",0.00871,0.00341,0.00298,0.03112,0.04046,0.00452,0.01396,0.86039,0.80744,0.05295,0,0.08079,0.00994,0.01414,0.00196,0.00059,1.49532,0.00337,2.90365,0.45211,0.72379,0.99858,0.72917,0.00036,0.06429,0,0.00014,0.00083,0.02042,0.17113,5e-04,0.76,0.19752,0.00298,9e-05,0.0123,0.00096,9.55094
"01/24/2019",0.01242,0.00011,0.00134,0.01809,0.00436,0.00108,0.00397,0.85491,0.80067,0.05424,0,0.07546,0.00099,0.01387,0.01245,0.0017,2.2391,0.00251,1.73748,0.23767,0.45612,0.626,0.41769,2e-05,0.03659,0,NA,0.00015,0.02037,0.05677,0.00046,0.5768,0.19771,0.0033,0.00122,0.00734,0.00094,7.14603
"01/27/2019",0.0212,0.00113,0.00145,0.00787,0.00565,0.00025,0.00594,0.68877,0.88989,0.10607,0,0.02821,0.00226,0.00796,0.00027,0.00032,3.18084,0.0032,1.66315,0.11287,0.31903,0.54775,0.37631,2e-05,0.03905,0.30719,NA,0.00027,0.00874,0.03921,0.00012,0.92992,0.27703,0.00152,0.00023,0.00689,0.00037,9.09999
"01/30/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
