parameter,code
Aluminum ,AL
Arsenic ,AS
Bromine ,BR
Calcium ,CA
Chloride ,CHL
Chlorine ,CL
Chromium ,CR
Copper ,CU
Elemental Carbon,EC
Elemental carbon I,EC1
Elemental carbon II,EC2
Elemental carbon III,EC3
Iron ,FE
Potassium ,K
Magnesium ,MG
Manganese ,MN
Nitrite ,N2
Sodium ,NA
Nickel ,NI
Nitrate ,NO3
Organic carbon,OC
Organic carbon I,OC1
Organic carbon II,OC2
Organic carbon III,OC3
Organic carbon IV,OC4
Pyrolyzed organic carbon,OP
Phosphorus ,P
Lead ,PB
Rubidium ,RB
Sulfur ,S
Selenium ,SE
Silicon ,SI
Sulfate ,SO4
Strontium ,SR
Titanium ,TI
Vanadium ,V
Zinc ,ZN
Zirconium ,ZR
Ammonium Sulfate ,ammSO4
Ammonium Nitrate ,ammNO3
Soil ,SOIL
Sea Salt ,SeaSalt
