profile_code,assigned_profile
0000010,Other
000002.5,Other
0000030,Other
00000C,Other
100CROC,Gasoline Vehicle
101CROC,Gasoline Vehicle
102CROC,Diesel Vehicle
103CROC,Diesel Vehicle
104CROC,Diesel Vehicle
105CROC,CNG Vehicle
106CROC,CNG Vehicle
107CROC,Gasoline Vehicle
108CROC,Diesel Vehicle
109CROC,Diesel Vehicle
110CROC,Diesel Vehicle
111CROC,Aircraft
1120110,Coal Combustion
112012.5,Coal Combustion
1120130,Coal Combustion
11201C,Coal Combustion
1120210,Coal Combustion
112022.5,Coal Combustion
1120230,Coal Combustion
11202C,Coal Combustion
1120310,Coal Combustion
112032.5,Coal Combustion
1120330,Coal Combustion
11203C,Coal Combustion
1120410,Coal Combustion
112042.5,Coal Combustion
1120430,Coal Combustion
11204C,Coal Combustion
1120510,Coal Combustion
112052.5,Coal Combustion
1120530,Coal Combustion
11205C,Coal Combustion
1120610,Coal Combustion
112062.5,Coal Combustion
1120630,Coal Combustion
11206C,Coal Combustion
1120710,Coal Combustion
112072.5,Coal Combustion
1120730,Coal Combustion
11207C,Coal Combustion
1120810,Coal Combustion
112082.5,Coal Combustion
1120830,Coal Combustion
11208C,Coal Combustion
1120910,Coal Combustion
112092.5,Coal Combustion
1120930,Coal Combustion
11209C,Coal Combustion
1121010,Coal Combustion
112102.5,Coal Combustion
1121030,Coal Combustion
11210C,Coal Combustion
1121110,Coal Combustion
112112.5,Coal Combustion
1121130,Coal Combustion
11211C,Coal Combustion
1121210,Coal Combustion
112122.5,Coal Combustion
1121230,Coal Combustion
11212C,Coal Combustion
1121310,Coal Combustion
112132.5,Coal Combustion
1121330,Coal Combustion
11213C,Coal Combustion
1121410,Coal Combustion
112142.5,Coal Combustion
1121430,Coal Combustion
11214C,Coal Combustion
1121510,Coal Combustion
112152.5,Coal Combustion
1121530,Coal Combustion
11215C,Coal Combustion
112CROC,Diesel Vehicle
1130110,Coal Combustion
113012.5,Coal Combustion
1130130,Coal Combustion
11301C,Coal Combustion
113CROC,Marine vessel
114CROC,Marine vessel
1150110,Oil Combustion
115012.5,Oil Combustion
1150130,Oil Combustion
11501C,Oil Combustion
1150210,Oil Combustion
115022.5,Oil Combustion
1150230,Oil Combustion
11502C,Oil Combustion
1150310,Oil Combustion
115032.5,Oil Combustion
1150330,Oil Combustion
11503C,Oil Combustion
1150410,Oil Combustion
115042.5,Oil Combustion
1150430,Oil Combustion
11504C,Oil Combustion
1150510,Oil Combustion
115052.5,Oil Combustion
1150530,Oil Combustion
11505C,Oil Combustion
1150610,Oil Combustion
115062.5,Oil Combustion
1150630,Oil Combustion
11506C,Oil Combustion
1150710,Oil Combustion
115072.5,Oil Combustion
1150730,Oil Combustion
11507C,Oil Combustion
