profile_code,Aluminum,Arsenic,Bromine,Calcium,Chlorine,Chromium,Copper,Elemental Carbon,Elemental carbon I,Elemental carbon II,Elemental carbon III,Iron,Lead,Magnesium,Manganese,Nickel,Nitrate,Nitrite,Organic carbon,Organic carbon I,Organic carbon II,Organic carbon III,Organic carbon IV,Phosphorus,Potassium,Pyrolyzed organic carbon,Rubidium,Selenium,Silicon,Sodium,Strontium,Sulfate,Sulfur,Titanium,Vanadium,Zinc,Zirconium,assigned_profile
0000010,3.819,1.41,0.0,2.399,0.0,0.086,1.057,3.259,0.0,0.0,0.0,2.648,3.303,0.362,0.33,0.119,0.124,0.0,7.337,0.0,0.0,0.0,0.0,0.141,1.843,0.0,0.007,0.025,7.736,1.377,0.014,5.046,2.632,0.186,0.058,2.218,0.002,Other
000002.5,4.443,1.476,0.0,2.614,0.0,0.103,1.056,4.406,0.0,0.0,0.0,2.758,3.382,0.389,0.337,0.126,0.164,0.0,8.768,0.0,0.0,0.0,0.0,0.152,2.108,0.0,0.007,0.025,9.491,1.652,0.014,5.514,2.972,0.194,0.061,2.233,0.002,Other
0000030,4.024,1.175,0.0,2.945,0.0,0.13,1.134,3.957,0.0,0.0,0.0,3.046,3.495,0.393,0.344,0.128,0.162,0.0,8.321,0.0,0.0,0.0,0.0,0.247,2.036,0.0,0.008,0.029,8.673,1.407,0.017,6.169,2.876,0.206,0.062,2.392,0.003,Other
00000C,4.079,1.118,0.0,2.804,0.0,0.071,1.089,4.582,0.0,0.0,0.0,2.848,3.137,0.367,0.345,0.113,0.134,0.0,8.187,0.0,0.0,0.0,0.0,0.14,1.76,0.0,0.008,0.023,8.933,1.577,0.017,5.03,2.457,0.207,0.059,2.235,0.004,Other
100CROC,0.0,0.0,0.0,0.387691395,0.0,0.020472153,0.0,44.36870076,0.0,0.0,0.0,0.306915401,0.02553456,0.019137012,0.0,0.007621427,0.262744505,0.0,0.0,0.0,0.0,0.0,0.0,0.151427174,0.0,0.0,0.0,0.0,0.0,0.005177675,0.0,0.945112514,0.0,0.0,0.0,0.078439499,0.0,Gasoline Vehicle
101CROC,0.323953249,0.0,0.0,1.443041022,0.0,0.073098026,0.095801412,14.00008696,0.0,0.0,0.0,1.827880627,0.047556716,0.144562096,0.023907354,0.026917273,0.288694202,0.0,0.0,0.0,0.0,0.0,0.0,0.433944279,0.0851377,0.0,0.0,0.0,0.323953249,0.039128943,0.0,7.187083868,0.0,0.034055081,0.0,0.592781988,0.0,Gasoline Vehicle
102CROC,0.06015392,0.0,0.0,0.5840294,0.0,0.0,0.0,46.40314,0.0,0.0,0.0,0.3443813,0.0,0.1326643,0.0,0.0,1.2515848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2624549,0.0,0.0,0.0,0.29708356,0.30771727,0.0,5.2665309,0.0,0.009309043,0.0,0.0,0.0,Diesel Vehicle
103CROC,0.05857382,0.0,0.0,0.3471102,0.0,0.0,0.0,78.97265,0.0,0.0,0.0,0.12763722,0.0,0.01143927,0.0,0.0,0.1801575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01947303,0.0,0.0,0.0,0.21871198,0.03462722,0.0,1.0283692,0.0,0.008669963,0.0,0.0,0.0,Diesel Vehicle
104CROC,0.105377216,0.0,0.0,0.469678302,0.0,0.0,0.0,9.984210934,0.0,0.0,0.0,0.64095131,0.0,0.137221594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047188534,0.0,0.0,0.0,0.08761583,0.98644004,0.0,59.9052656,0.0,0.016395125,0.0,0.0,0.0,Diesel Vehicle
105CROC,0.89,0.0,0.0,0.21,0.0,0.25,0.0,9.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.64,0.0,0.0,0.0,0.14,0.0,CNG Vehicle
106CROC,0.889911009,0.0,0.0,0.439956004,0.0,0.249975002,0.0,11.11888811,0.0,0.0,0.0,0.249975002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149985001,0.0,0.0,0.0,0.0,0.589941006,0.0,0.0,1.03989601,0.0,0.0,0.0,0.199980002,0.0,CNG Vehicle
107CROC,0.0,0.0,0.0,0.029995001,0.0,0.0,0.0,12.17597067,0.0,0.0,0.0,0.009998334,0.029995001,0.0,0.0,0.0,0.069988335,0.0,0.0,0.0,0.0,0.0,0.0,0.029995001,0.0,0.0,0.0,0.0,0.119980003,0.0,0.0,0.049991668,0.01666389,0.0,0.0,0.029995001,0.0,Gasoline Vehicle
108CROC,0.06015392,0.0,0.0,0.5840294,0.0,0.0,0.0,46.40314,0.0,0.0,0.0,0.3443813,0.0,0.1326643,0.0,0.0,1.2515848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2624549,0.0,0.0,0.0,0.29708356,0.30771727,0.0,5.2665309,0.0,0.009309043,0.0,0.0,0.0,Diesel Vehicle
109CROC,0.105377216,0.0,0.0,0.469678302,0.0,0.0,0.0,9.984210934,0.0,0.0,0.0,0.64095131,0.0,0.137221594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047188534,0.0,0.0,0.0,0.08761583,0.98644004,0.0,59.9052656,0.0,0.016395125,0.0,0.0,0.0,Diesel Vehicle
110CROC,0.06015392,0.0,0.0,0.5840294,0.0,0.0,0.0,46.40314,0.0,0.0,0.0,0.3443813,0.0,0.1326643,0.0,0.0,1.2515848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2624549,0.0,0.0,0.0,0.29708356,0.30771727,0.0,5.2665309,0.0,0.009309043,0.0,0.0,0.0,Diesel Vehicle
