"","PROFILE_CODE","WEIGHT_PERCENT","UNCERTAINTY_PERCENT","SPECIES_NAME","SYMBOL","PROFILE_NAME","PROFILE_TYPE","TOTAL","REGION","CATEGORY_LEVEL_1_Generation_Mechanism","CATEGORY_LEVEL_2_Sector_Equipment","CATEGORY_LEVEL_3_.Fuel_Product"
"74033","3766AE6",0.0015,0.0012,"Tin","Sn","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74034","3766AE6",0.0792,0.0213,"Sulfur","S","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74035","3766AE6",0.1332,0.0629,"Sulfate","SO4=","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74038","3766AE6",1e-04,2e-04,"Vanadium","V","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74039","3766AE6",0.1203,0.0959,"Potassium ion","K+","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74040","3766AE6",0.0122,0.013,"Sodium","Na","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74041","3766AE6",0.0029,0.0034,"Zinc","Zn","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74042","3766AE6",0.1105,0.0952,"Ammonium","NH4+","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74049","3766AE6",0.1452,0.1227,"Potassium","K","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74052","3766AE6",0.062,0.0448,"Silicon","Si","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74054","3766AE6",0.0154,0.0148,"Aluminum","Al","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74055","3766AE6",3e-04,5e-04,"Arsenic","As","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74056","3766AE6",1e-04,2e-04,"Cadmium","Cd","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74057","3766AE6",0.3693,0.5714,"Calcium","Ca","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74058","3766AE6",0.207,0.1297,"Chloride ion","Cl-","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74059","3766AE6",1e-04,1e-04,"Chromium","Cr","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74060","3766AE6",2e-04,3e-04,"Copper","Cu","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74063","3766AE6",0.018,0.0196,"Iron","Fe","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74064","3766AE6",7e-04,0.0013,"Lead","Pb","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74065","3766AE6",0.0179,0.0153,"Magnesium","Mg","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74066","3766AE6",5e-04,9e-04,"Manganese","Mn","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74067","3766AE6",0.0281,0.0261,"Nitrate","NO3-","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74069","3766AE6",5e-04,7e-04,"Antimony","Sb","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"74070","3766AE6",0.0073,0.0082,"Phosphorus","P","Forest Fire - AE6","PM-AE6",100,"Northwestern Colorado","Combustion","Biomass Burning; Wildfire","Pinyon-juniper"
"231670","5674",0.01825,0.006937218,"Zinc","Zn","Marine Vessel - Main Engine - Heavy Fuel Oil","PM-AE6",96,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231671","5674",1.515625,0.755991821,"Vanadium","V","Marine Vessel - Main Engine - Heavy Fuel Oil","PM-AE6",96,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231673","5674",0.01328125,0.014634212,"Tin","Sn","Marine Vessel - Main Engine - Heavy Fuel Oil","PM-AE6",96,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231674","5674",38.0325,12.25596321,"Sulfate","SO4=","Marine Vessel - Main Engine - Heavy Fuel Oil","PM-AE6",96,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231675","5674",0.33675,0.255228681,"Phosphorus","P","Marine Vessel - Main Engine - Heavy Fuel Oil","PM-AE6",96,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231677","5674",0.6705,0.334077672,"Nickel","Ni","Marine Vessel - Main Engine - Heavy Fuel Oil","PM-AE6",96,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231678","5674",0.019,0.017719604,"Antimony","Sb","Marine Vessel - Main Engine - Heavy Fuel Oil","PM-AE6",96,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231679","5674",0.010625,0.007001674,"Molybdenum","Mo","Marine Vessel - Main Engine - Heavy Fuel Oil","PM-AE6",96,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231680","5674",0.771625,0.275182326,"Aluminum","Al","Marine Vessel - Main Engine - Heavy Fuel Oil","PM-AE6",96,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231681","5674",0.003958333,0.000954703,"Cadmium","Cd","Marine Vessel - Main Engine - Heavy Fuel Oil","PM-AE6",96,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231682","5674",0.17,-99,"Chromium","Cr","Marine Vessel - Main Engine - Heavy Fuel Oil","PM-AE6",96,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231683","5674",0.00975,0.004432656,"Cobalt","Co","Marine Vessel - Main Engine - Heavy Fuel Oil","PM-AE6",96,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231686","5674",0.526625,0.512365188,"Iron","Fe","Marine Vessel - Main Engine - Heavy Fuel Oil","PM-AE6",96,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231688","5674",0.318125,-99,"Magnesium","Mg","Marine Vessel - Main Engine - Heavy Fuel Oil","PM-AE6",96,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231689","5674",0.006625,0.005635407,"Copper","Cu","Marine Vessel - Main Engine - Heavy Fuel Oil","PM-AE6",96,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231690","5674",0.259125,0.085110911,"Calcium","Ca","Marine Vessel - Main Engine - Heavy Fuel Oil","PM-AE6",96,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231712","5675AE6",0.340425532,-99,"Silicon","Si","Marine Vessel - Auxiliary Engine - Marine Gas Oil – AE6","PM-AE6",100,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231713","5675AE6",12.07801418,4.504227346,"Sulfate","SO4=","Marine Vessel - Auxiliary Engine - Marine Gas Oil – AE6","PM-AE6",100,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231714","5675AE6",0.035460993,-99,"Tin","Sn","Marine Vessel - Auxiliary Engine - Marine Gas Oil – AE6","PM-AE6",100,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231716","5675AE6",0.082742317,0.020473414,"Vanadium","V","Marine Vessel - Auxiliary Engine - Marine Gas Oil – AE6","PM-AE6",100,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231717","5675AE6",0.200945626,0.017848308,"Zinc","Zn","Marine Vessel - Auxiliary Engine - Marine Gas Oil – AE6","PM-AE6",100,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231720","5675AE6",0.026004728,0.004094683,"Nickel","Ni","Marine Vessel - Auxiliary Engine - Marine Gas Oil – AE6","PM-AE6",100,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231722","5675AE6",1.912529551,0.161778838,"Calcium","Ca","Marine Vessel - Auxiliary Engine - Marine Gas Oil – AE6","PM-AE6",100,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231724","5675AE6",0.195035461,0.105313776,"Phosphorus","P","Marine Vessel - Auxiliary Engine - Marine Gas Oil – AE6","PM-AE6",100,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231725","5675AE6",0.023640662,0.004094683,"Cadmium","Cd","Marine Vessel - Auxiliary Engine - Marine Gas Oil – AE6","PM-AE6",100,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231726","5675AE6",0.061465721,0.010833512,"Antimony","Sb","Marine Vessel - Auxiliary Engine - Marine Gas Oil – AE6","PM-AE6",100,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231727","5675AE6",0.014184397,-99,"Copper","Cu","Marine Vessel - Auxiliary Engine - Marine Gas Oil – AE6","PM-AE6",100,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231729","5675AE6",0.078014184,0.025571286,"Iron","Fe","Marine Vessel - Auxiliary Engine - Marine Gas Oil – AE6","PM-AE6",100,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231731","5675AE6",0.333333333,0.040119534,"Magnesium","Mg","Marine Vessel - Auxiliary Engine - Marine Gas Oil – AE6","PM-AE6",100,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"231732","5675AE6",0.014184397,-99,"Molybdenum","Mo","Marine Vessel - Auxiliary Engine - Marine Gas Oil – AE6","PM-AE6",100,"United States","Combustion","Mobile; Marine","Heavy Fuel Oil"
"274715","8873AE6",0.976828493,-99,"Potassium ion","K+","Aircraft Exhaust","PM-AE6",100,"United States","Combustion","Mobile; Aircraft","Jet Fuel"
"274719","8873AE6",1.791897293,-99,"Ammonium","NH4+","Aircraft Exhaust","PM-AE6",100,"United States","Combustion","Mobile; Aircraft","Jet Fuel"
"274720","8873AE6",6.867400312,-99,"Sulfate","SO4=","Aircraft Exhaust","PM-AE6",100,"United States","Combustion","Mobile; Aircraft","Jet Fuel"
"274722","8873AE6",0.387300731,-99,"Magnesium","Mg","Aircraft Exhaust","PM-AE6",100,"United States","Combustion","Mobile; Aircraft","Jet Fuel"
"274723","8873AE6",0.026213377,-99,"Chromium","Cr","Aircraft Exhaust","PM-AE6",100,"United States","Combustion","Mobile; Aircraft","Jet Fuel"
"276162","8898a",0.0147,-99,"Sulfur","S","Outdoor Hydronic Heater- one stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276175","8898a",0.00776,-99,"Zinc","Zn","Outdoor Hydronic Heater- one stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276177","8898a",0.0441,-99,"Sulfate","SO4=","Outdoor Hydronic Heater- one stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276178","8898a",0.0107,-99,"Sodium","Na","Outdoor Hydronic Heater- one stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276179","8898a",0.0173,-99,"Silicon","Si","Outdoor Hydronic Heater- one stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276180","8898a",0.242,-99,"Potassium","K","Outdoor Hydronic Heater- one stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276181","8898a",0,-99,"Phosphorus","P","Outdoor Hydronic Heater- one stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
"276185","8898a",0.0688,-99,"Copper","Cu","Outdoor Hydronic Heater- one stage updraft conventional, seasoned red oak","PM-AE6",100,"United States","Combustion","Biomass Burning; Residential Wood Combustion; Hydronic Heater","Red Oak"
